"","Source","Target","Weight"
"559","Q4048254","Q4657623",50
"560","Q4048254","Q4657677",37
"561","Q4048254","Q4657775",41
"562","Q4048254","Q4657797",57
"563","Q4048254","Q4663253",72
"564","Q4048254","Q4663261",96
"565","Q4048254","Q4663273",22
"566","Q4048254","Q4663309",48
"567","Q4048254","Q4663321",44
"568","Q4048254","Q4663356",59
"569","Q4048254","Q4663389",61
"570","Q4048254","Q4663903",60
"571","Q4048254","Q4663914",57
"572","Q4048254","Q4663933",23
"573","Q4048254","Q4663944",25
"574","Q4048254","Q4663975",39
"575","Q4048254","Q4663994",39
"576","Q4048254","Q4664011",77
"577","Q4048254","Q4664090",43
"578","Q4048254","Q4664109",71
"579","Q4048254","Q4994848",82
"580","Q4048254","Q55386965",59
"581","Q4048254","Q642335",81
"582","Q4048254","Q79951",73
"583","Q4048254","Q9276887",17
"584","Q4167410","Q4167836",73
"585","Q4167410","Q4345841",87
"586","Q4167410","Q4592334",80
"587","Q4167410","Q4616152",21
"588","Q4167410","Q4616470",70
"589","Q4167410","Q4654351",69
"590","Q4167410","Q4654366",21
"591","Q4167410","Q4654415",41
"592","Q4167410","Q4654447",5
"593","Q4167410","Q4654593",56
"594","Q4167410","Q4654667",52
"595","Q4167410","Q4654740",33
"596","Q4167410","Q4656487",90
"597","Q4167410","Q4656524",73
"598","Q4167410","Q4656540",27
"599","Q4167410","Q4656551",5
"600","Q4167410","Q4656567",34
"601","Q4167410","Q4657130",8
"602","Q4167410","Q4657322",49
"603","Q4167410","Q4657349",27
"604","Q4167410","Q4657380",27
"605","Q4167410","Q4657574",79
"606","Q4167410","Q4657623",54
"607","Q4167410","Q4657677",37
"608","Q4167410","Q4657775",46
"609","Q4167410","Q4657797",60
"610","Q4167410","Q4663253",73
"611","Q4167410","Q4663261",92
"612","Q4167410","Q4663273",25
"613","Q4167410","Q4663309",51
"614","Q4167410","Q4663321",48
"615","Q4167410","Q4663356",69
"616","Q4167410","Q4663389",66
"617","Q4167410","Q4663903",63
"618","Q4167410","Q4663914",64
"619","Q4167410","Q4663933",27
"620","Q4167410","Q4663944",30
"621","Q4167410","Q4663975",48
"622","Q4167410","Q4663994",46
"623","Q4167410","Q4664011",80
"624","Q4167410","Q4664090",45
"625","Q4167410","Q4664109",69
"626","Q4167410","Q4994848",78
"627","Q4167410","Q55386965",56
"628","Q4167410","Q642335",83
"629","Q4167410","Q79951",76
"630","Q4167410","Q9276887",18
"631","Q4167836","Q4345841",74
"632","Q4167836","Q4592334",68
"633","Q4167836","Q4616152",20
"634","Q4167836","Q4616470",64
"635","Q4167836","Q4654351",63
"636","Q4167836","Q4654366",20
"637","Q4167836","Q4654415",40
"638","Q4167836","Q4654447",5
"639","Q4167836","Q4654593",49
"640","Q4167836","Q4654667",49
"641","Q4167836","Q4654740",32
"642","Q4167836","Q4656487",73
"643","Q4167836","Q4656524",66
"644","Q4167836","Q4656540",27
"645","Q4167836","Q4656551",6
"646","Q4167836","Q4656567",31
"647","Q4167836","Q4657130",5
"648","Q4167836","Q4657322",46
"649","Q4167836","Q4657349",24
"650","Q4167836","Q4657380",25
"651","Q4167836","Q4657574",72
"652","Q4167836","Q4657623",50
"653","Q4167836","Q4657677",34
"654","Q4167836","Q4657775",44
"655","Q4167836","Q4657797",53
"656","Q4167836","Q4663253",65
"657","Q4167836","Q4663261",76
"658","Q4167836","Q4663273",22
"659","Q4167836","Q4663309",47
"660","Q4167836","Q4663321",46
"661","Q4167836","Q4663356",63
"662","Q4167836","Q4663389",61
"663","Q4167836","Q4663903",55
"664","Q4167836","Q4663914",59
"665","Q4167836","Q4663933",26
"666","Q4167836","Q4663944",28
"667","Q4167836","Q4663975",44
"668","Q4167836","Q4663994",44
"669","Q4167836","Q4664011",68
"670","Q4167836","Q4664090",42
"671","Q4167836","Q4664109",59
"672","Q4167836","Q4994848",67
"673","Q4167836","Q55386965",51
"674","Q4167836","Q642335",71
"675","Q4167836","Q79951",71
"676","Q4167836","Q9276887",17
"677","Q4345841","Q4592334",80
"678","Q4345841","Q4616152",22
"679","Q4345841","Q4616470",75
"680","Q4345841","Q4654351",71
"681","Q4345841","Q4654366",21
"682","Q4345841","Q4654415",43
"683","Q4345841","Q4654447",5
"684","Q4345841","Q4654593",57
"685","Q4345841","Q4654667",54
"686","Q4345841","Q4654740",36
"687","Q4345841","Q4656487",98
"688","Q4345841","Q4656524",77
"689","Q4345841","Q4656540",28
"690","Q4345841","Q4656551",7
"691","Q4345841","Q4656567",35
"692","Q4345841","Q4657130",8
"693","Q4345841","Q4657322",50
"694","Q4345841","Q4657349",26
"695","Q4345841","Q4657380",27
"696","Q4345841","Q4657574",87
"697","Q4345841","Q4657623",56
"698","Q4345841","Q4657677",42
"699","Q4345841","Q4657775",47
"700","Q4345841","Q4657797",65
"701","Q4345841","Q4663253",81
"702","Q4345841","Q4663261",95
"703","Q4345841","Q4663273",24
"704","Q4345841","Q4663309",51
"705","Q4345841","Q4663321",49
"706","Q4345841","Q4663356",71
"707","Q4345841","Q4663389",67
"708","Q4345841","Q4663903",65
"709","Q4345841","Q4663914",68
"710","Q4345841","Q4663933",27
"711","Q4345841","Q4663944",30
"712","Q4345841","Q4663975",48
"713","Q4345841","Q4663994",48
"714","Q4345841","Q4664011",82
"715","Q4345841","Q4664090",46
"716","Q4345841","Q4664109",73
"717","Q4345841","Q4994848",84
"718","Q4345841","Q55386965",61
"719","Q4345841","Q642335",85
"720","Q4345841","Q79951",86
"721","Q4345841","Q9276887",18
"722","Q4592334","Q4616152",22
"723","Q4592334","Q4616470",70
"724","Q4592334","Q4654351",64
"725","Q4592334","Q4654366",21
"726","Q4592334","Q4654415",41
"727","Q4592334","Q4654447",5
"728","Q4592334","Q4654593",54
"729","Q4592334","Q4654667",53
"730","Q4592334","Q4654740",30
"731","Q4592334","Q4656487",82
"732","Q4592334","Q4656524",67
"733","Q4592334","Q4656540",27
"734","Q4592334","Q4656551",5
"735","Q4592334","Q4656567",34
"736","Q4592334","Q4657130",6
"737","Q4592334","Q4657322",47
"738","Q4592334","Q4657349",27
"739","Q4592334","Q4657380",27
"740","Q4592334","Q4657574",77
"741","Q4592334","Q4657623",55
"742","Q4592334","Q4657677",37
"743","Q4592334","Q4657775",45
"744","Q4592334","Q4657797",59
"745","Q4592334","Q4663253",73
"746","Q4592334","Q4663261",83
"747","Q4592334","Q4663273",26
"748","Q4592334","Q4663309",50
"749","Q4592334","Q4663321",48
"750","Q4592334","Q4663356",65
"751","Q4592334","Q4663389",64
"752","Q4592334","Q4663903",59
"753","Q4592334","Q4663914",63
"754","Q4592334","Q4663933",27
"755","Q4592334","Q4663944",29
"756","Q4592334","Q4663975",45
"757","Q4592334","Q4663994",43
"758","Q4592334","Q4664011",76
"759","Q4592334","Q4664090",45
"760","Q4592334","Q4664109",63
"761","Q4592334","Q4994848",75
"762","Q4592334","Q55386965",53
"763","Q4592334","Q642335",79
"764","Q4592334","Q79951",73
"765","Q4592334","Q9276887",17
"766","Q4616152","Q4616470",21
"767","Q4616152","Q4654351",20
"768","Q4616152","Q4654366",12
"769","Q4616152","Q4654415",19
"770","Q4616152","Q4654447",4
"771","Q4616152","Q4654593",19
"772","Q4616152","Q4654667",20
"773","Q4616152","Q4654740",16
"774","Q4616152","Q4656487",22
"775","Q4616152","Q4656524",21
"776","Q4616152","Q4656540",15
"777","Q4616152","Q4656551",3
"778","Q4616152","Q4656567",14
"779","Q4616152","Q4657130",4
"780","Q4616152","Q4657322",16
"781","Q4616152","Q4657349",13
"782","Q4616152","Q4657380",12
"783","Q4616152","Q4657574",22
"784","Q4616152","Q4657623",21
"785","Q4616152","Q4657677",14
"786","Q4616152","Q4657775",20
"787","Q4616152","Q4657797",19
"788","Q4616152","Q4663253",21
"789","Q4616152","Q4663261",22
"790","Q4616152","Q4663273",14
"791","Q4616152","Q4663309",19
"792","Q4616152","Q4663321",15
"793","Q4616152","Q4663356",21
"794","Q4616152","Q4663389",20
"795","Q4616152","Q4663903",18
"796","Q4616152","Q4663914",19
"797","Q4616152","Q4663933",15
"798","Q4616152","Q4663944",15
"799","Q4616152","Q4663975",19
"800","Q4616152","Q4663994",19
"801","Q4616152","Q4664011",22
"802","Q4616152","Q4664090",17
"803","Q4616152","Q4664109",19
"804","Q4616152","Q4994848",21
"805","Q4616152","Q55386965",20
"806","Q4616152","Q642335",22
"807","Q4616152","Q79951",21
"808","Q4616152","Q9276887",6
"809","Q4616470","Q4654351",62
"810","Q4616470","Q4654366",20
"811","Q4616470","Q4654415",41
"812","Q4616470","Q4654447",5
"813","Q4616470","Q4654593",49
"814","Q4616470","Q4654667",49
"815","Q4616470","Q4654740",33
"816","Q4616470","Q4656487",74
"817","Q4616470","Q4656524",61
"818","Q4616470","Q4656540",27
"819","Q4616470","Q4656551",6
"820","Q4616470","Q4656567",32
"821","Q4616470","Q4657130",7
"822","Q4616470","Q4657322",46
"823","Q4616470","Q4657349",26
"824","Q4616470","Q4657380",25
"825","Q4616470","Q4657574",73
