id,Language,Language (local),Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
ln,Lingala,Lingala,"3,27","8,556","121,645",4,"11,719",23,32,37,1000
cbk-zam,Zamboanga Chavacano,Chavacano de Zamboanga,"3,125","8,228","110,025",2,"13,463",19,0,36,1000
dv,Divehi,ދިވެހިބަސް,"3,018","11,192","129,849",3,"23,249",26,932,85,1000
ksh,Ripuarian,Ripoarisch,"2,914","10,534","1,606,768",3,"21,293",14,0,1043,1000
av,Avar,Авар,"2,894","14,005","81,501",2,"13,234",29,0,86,1000
gag,Gagauz,Gagauz,"2,793","6,57","67,591",1,"12,571",21,0,19,1000
bxr,Buryat,Буряад,"2,771","11,035","69,807",2,"13,726",23,9,56,1000
pfl,Palatinate German,Pälzisch,"2,74","6,904","89,792",4,"10,687",14,0,30,1000
pag,Pangasinan,Pangasinan,"2,575","8,809","73,012",1,"7,533",13,0,49,1000
pap,Papiamentu,Papiamentu,"2,555","5,883","88,179",5,"13,299",22,0,25,1000
pi,Pali,पाऴि,"2,546","4,637","101,6",2,"6,599",10,0,15,1000
haw,Hawaiian,Hawaiʻi,"2,452","5,521","96,381",1,"14,941",18,0,27,1000
awa,Awadhi,अवधी,"2,436","5,345","24,089",1,"1,857",13,0,6,1000
tay,Atayal,Tayal,"2,42","2,815","54,039",0,"1,07",8,0,1,1000
inh,Ingush,ГӀалгӀай,"2,064","11,36","53,131",2,"3,222",17,34,95,1000
krc,Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),"2,057","14,324","106,171",2,"9,618",14,0,264,1000
xal,Kalmyk,Хальмг,"2,046","11,777","84,81",1,"9,226",16,0,163,1000
tw,Twi,Twi,"2,04","4,788","86,832",2,"13,455",35,0,33,1000
szy,Sakizaya,Sakizaya,"2,03","5,348","128,338",1,"2,277",12,0,64,1000
za,Zhuang,Cuengh,"2,01","4,139","39,27",1,"9,675",15,0,11,1000
kaa,Karakalpak,Qaraqalpaqsha,"1,931","5,066","45,487",1,"10,139",23,3,24,1000
pdc,Pennsylvania German,Deitsch,"1,931","5,833","105,093",1,"30,183",19,0,74,1000
atj,Atikamekw,Atikamekw,"1,908","3,01","14,652",5,"3,641",13,0,2,1000
to,Tongan,faka Tonga,"1,895","5,311","41,513",2,"9,172",15,12,25,1000
dag,Dagbani,Dagbanli,"1,879","4,376","40,839",3,"1,72",53,0,16,1000
arc,Aramaic,ܐܪܡܝܐ,"1,833","6,396","95,171",2,"18,674",15,0,92,1000
mdf,Moksha,Мокшень (Mokshanj Kälj),"1,824","11,389","63,79",3,"8,456",17,0,154,1000
kbp,Kabiye,Kabɩyɛ,"1,698","3,373","16,044",2,"3,798",9,0,5,1000
jam,Jamaican Patois,Jumiekan Kryuol,"1,686","3,022","20,739",1,"7,142",12,0,4,1000
na,Nauruan,dorerin Naoero,"1,662","4,877","89,492",2,"11,424",21,4,69,1000
wo,Wolof,Wolof,"1,651","5,362","104,384",3,"13,838",10,0,98,1000
kbd,Kabardian Circassian,Адыгэбзэ (Adighabze),"1,596","6,739","43,673",1,"9,081",10,0,67,1000
tcy,Tulu,ತುಳು,"1,587","8,431","98,74",2,"4,86",15,1,218,1000
nov,Novial,Novial,"1,52","4,41","177,68",3,"10,774",13,0,146,1000
